sno,firstname,lastname,gender,dob,personphone,city,statename,zip,primarylanguage,primaryocc,maxeducationlevel,maritalstatus,productcategory,annualincome,leadquality,datecreated 
896,George,Hoffman,male,1990-09-16,8748350516,West Adam,New York,55635,English,Salaried,Doctorate,Unmarried,Disability Insurance,80000,Best,
897,Felicia,Dodson,female,1946-03-17,9385651144,Taylorfurt,Kentucky,32215,English,Self employed,Secondary school,Widowed,Auto Insurance,28000,Average,
898,Ruth,Robinson,female,1953-07-09,2116546422,West Jasmine,Montana,21227,English,Salaried,Undergraduate,Married,Disability Insurance,81000,Average,
899,Lawrence,Robinson,male,1971-12-26,4603130833,Rickfort,New Hampshire,67733,English,Salaried,Doctorate,Married,Life Insurance,65000,Average,
900,Charles,Stewart,male,1977-04-17,5140770904,West Robin,Oklahoma,66347,English,Salaried,Undergraduate,Married,Home Insurance,83000,Average,
901,Marilyn,Fields,female,1953-03-31,3683605748,West Dawnton,West Virginia,67912,English,Salaried,Undergraduate,Married,Home Insurance,78000,Poor,
902,Norman,Tarango,male,1988-10-28,3296439116,Russellshire,Montana,25166,English,Self employed,Secondary school,Married,Disability Insurance,11000,Average,
903,Richard,Marchant,male,1991-08-02,3086888080,Michaelshire,Kansas,77241,English,Self employed,Elementary school,Unmarried,Life Insurance,12000,Poor,
904,Jack,Watson,male,1971-03-26,1910967299,Jaredborough,Washington,74572,English,Salaried,Undergraduate,Widowed,Home Insurance,46000,Best,
905,Ralph,Cobbins,male,1955-01-09,3769257546,Port Calvin,Hawaii,95984,English,Business,Postgraduate,Married,Auto Insurance,81000,Poor,
906,Michel,Maxwell,male,1940-07-19,8883265781,Port Samuel,Kansas,93246,English,Business,Postgraduate,Married,Life Insurance,92000,Best,
907,Stephanie,Diaz,female,1943-08-24,6958686956,Martinezland,North Carolina,24058,English,Salaried,Undergraduate,Married,Disability Insurance,52000,Average,
908,Autumn,Washington,female,1963-03-17,7019714574,Santanaport,Oklahoma,24845,English,Business,Postgraduate,Married,Disability Insurance,91000,Average,
909,Benjamin,Simon,male,1981-11-03,5525484771,West Juliefurt,New Mexico,52683,English,Self employed,Elementary school,Married,Life Insurance,6000,Poor,
910,Kevin,Hagan,male,1975-10-09,9295743513,West Juliaberg,Nebraska,55889,English,Salaried,Undergraduate,Married,Auto Insurance,79000,Average,
911,Christopher,Mojica,male,1949-04-06,4496656510,South Elizabeth,Ohio,43814,English,Salaried,Undergraduate,Married,Home Insurance,89000,Average,
912,Joyce,Fowler,female,1989-03-11,7131955479,Davidsonmouth,Hawaii,82462,English,Salaried,Doctorate,Divorced,Disability Insurance,74000,Best,
913,Brenda,Hoffman,female,1966-11-12,3573294022,Julieberg,Hawaii,52017,English,Self employed,Elementary school,Married,Home Insurance,25000,Best,
914,Katherine,Booker,female,1973-05-02,8965661189,South Shelby,Montana,8823,English,Self employed,Secondary school,Married,Life Insurance,4000,Average,
915,Jeannette,Jimenez,female,1971-05-07,9200553256,Frankfurt,Kansas,58788,English,Salaried,Postgraduate,Married,Disability Insurance,50000,Poor,
916,Linda,Harewood,female,1969-02-06,8762485673,North Baileyhaven,North Carolina,36720,English,Business,Postgraduate,Divorced,Auto Insurance,92000,Poor,
917,Muriel,Autry,female,1963-09-13,5512934768,West Maryside,New Mexico,26808,English,Business,Postgraduate,Married,Life Insurance,98000,Average,
918,Eric,Dejesus,male,1984-10-10,1805916337,Brettmouth,Pennsylvania,50574,English,Unemployed,Elementary school,Married,Home Insurance,1000,Poor,
919,Nicholas,Glenn,male,1942-04-25,1054508697,Riverafort,Wisconsin,41555,English,Salaried,Undergraduate,Married,Home Insurance,80000,Best,
920,Gertrude,Ryan,female,1958-06-03,7978792591,North Maryberg,New Jersey,40805,English,Self employed,Elementary school,Married,Life Insurance,34000,Average,
921,Mark,Katz,male,1989-10-27,8628034483,North Valeriestad,Wyoming,33731,English,Salaried,Undergraduate,Unmarried,Home Insurance,89000,Best,
922,Jade,Sofranko,female,1963-11-02,6392734967,Troychester,Texas,76888,English,Business,Postgraduate,Widowed,Life Insurance,85000,Best,
923,Jared,Pitt,male,1961-01-14,1590965091,East Cameronstad,Delaware,11992,English,Salaried,Undergraduate,Married,Auto Insurance,76000,Average,
924,Steven,Meade,male,1976-06-10,1672596264,South Jonathanfort,Wyoming,6566,English,Self employed,Secondary school,Married,Home Insurance,16000,Average,
925,Dana,Guillen,female,1987-03-26,4223015234,North Shane,Indiana,11268,English,Business,Postgraduate,Married,Life Insurance,73000,Poor,
926,Jack,Bennett,male,1992-10-10,3875342951,Lake Tamaramouth,Ohio,41629,English,Self employed,Secondary school,Unmarried,Disability Insurance,4000,Best,
927,Adam,Rouse,male,1998-02-11,1282774945,North Katietown,Arkansas,54005,English,Self employed,Undergraduate,Married,Disability Insurance,90000,Poor,
928,Christopher,Mojica,male,1949-04-06,4496656510,South Elizabeth,Ohio,43814,English,Salaried,Undergraduate,Married,Auto Insurance,89000,Average,
929,Charles,Stewart,male,1977-04-17,5140770904,West Robin,Oklahoma,66347,English,Salaried,Undergraduate,Married,Life Insurance,83000,Average,
930,Florence,Durant,female,1951-03-28,8426860527,North Toddton,Colorado,1359,English,Business,Postgraduate,Married,Disability Insurance,83000,Poor,
931,Hector,Kiehl,male,1969-11-03,2155498651,Lopezborough,Alabama,79157,English,Salaried,Doctorate,Married,Home Insurance,40000,Average,
932,Effie,Rodriquez,female,1968-06-25,3744823032,East Mitchellburgh,Louisiana,84125,English,Salaried,Undergraduate,Widowed,Disability Insurance,84000,Poor,
933,Ervin,Macfarlane,male,1981-07-02,8242203605,West Hannahmouth,Indiana,19789,English,Salaried,Undergraduate,Married,Life Insurance,87000,Poor,
934,Beverly,Parker,female,1966-03-15,1484298860,Port Morgan,Nebraska,49899,English,Salaried,Doctorate,Married,Home Insurance,60000,Poor,
935,Evelyn,Redmond,female,1985-01-12,1199186347,West Vincent,Delaware,56372,English,Salaried,Undergraduate,Widowed,Life Insurance,67000,Average,
936,Kim,Valentine,female,1997-12-03,4177189500,Brucefurt,Tennessee,14089,English,Self employed,Secondary school,Unmarried,Auto Insurance,5000,Best,
937,Reatha,Inman,female,1962-12-23,4424941817,Wilsonbury,Ohio,71801,English,Salaried,Doctorate,Divorced,Disability Insurance,63000,Average,
938,Katie,Gomez,female,1940-07-03,5478580135,Briggsbury,Vermont,85488,English,Salaried,Undergraduate,Married,Disability Insurance,52000,Average,
939,Pearl,Renteria,female,1943-06-16,2793546797,Ericfort,Idaho,62828,English,Salaried,Undergraduate,Married,Home Insurance,57000,Poor,
940,Emma,Christian,female,1978-08-21,4994628097,Port Connor,South Dakota,97075,English,Self employed,Secondary school,Married,Life Insurance,6000,Best,
941,Marjorie,Johnson,female,1944-07-25,1065309396,Camposbury,Texas,84915,English,Salaried,Doctorate,Married,Disability Insurance,50000,Poor,
942,Wilford,Skelley,male,1945-06-02,7424223780,Lake Kathyview,Oklahoma,21891,English,Salaried,Doctorate,Married,Home Insurance,85000,Best,
943,Jennifer,Norris,female,1975-06-13,8837808707,North Nathaniel,New Jersey,77085,English,Business,Postgraduate,Married,Auto Insurance,65000,Poor,
944,Kathy,Whisnant,female,1954-08-22,1804433434,Mendozashire,Oregon,2436,English,Salaried,Doctorate,Married,Auto Insurance,61000,Best,
945,Douglas,Cook,male,1965-08-24,5181195704,Michaelville,Georgia,74654,English,Salaried,Undergraduate,Widowed,Disability Insurance,48000,Average,
946,Patricia,Giron,female,1957-07-22,7415602506,Port Jeremyburgh,New Jersey,51906,English,Self employed,Secondary school,Widowed,Disability Insurance,24000,Best,
947,Michael,Wahlstrom,male,1987-10-18,6214920275,Mcdonaldport,Illinois,37563,English,Business,Postgraduate,Married,Disability Insurance,66000,Average,
948,Gerald,Thornton,male,1975-05-26,9990641390,Joneston,Arkansas,90831,English,Salaried,Undergraduate,Divorced,Auto Insurance,84000,Poor,
949,Andrea,Hoffer,female,1978-12-28,1526845897,Tamarastad,Connecticut,13902,English,Self employed,Secondary school,Divorced,Disability Insurance,22000,Poor,
950,Jill,Schroot,female,1971-01-29,7376896838,Stevenville,Vermont,89808,English,Self employed,Secondary school,Widowed,Auto Insurance,34000,Average,
951,Rachel,Olson,female,1948-09-16,4750262632,Courtneyborough,Delaware,74645,English,Unemployed,Secondary school,Divorced,Disability Insurance,1000,Average,
952,Bradford,Stephens,male,1984-02-05,9157206116,East Lisa,Virginia,22366,English,Salaried,Undergraduate,Married,Auto Insurance,76000,Average,
953,Robbie,Pante,male,1988-02-15,5980223423,Michaelside,Ohio,70050,English,Business,Postgraduate,Married,Home Insurance,92000,Best,
954,Douglas,Seumanu,male,1979-11-26,6900281282,Wandaport,Arizona,20310,English,Salaried,Undergraduate,Married,Life Insurance,53000,Poor,
955,Beverly,Smith,female,1991-05-05,9280190345,Curtisview,Georgia,15735,English,Salaried,Doctorate,Unmarried,Disability Insurance,42000,Average,
956,Eric,Pontes,male,1998-09-03,5223828580,Sellerschester,Wisconsin,50969,English,Salaried,Doctorate,Married,Auto Insurance,85000,Best,
957,Estelle,Grisham,female,1942-10-18,4213911712,Port Tonya,Nebraska,83972,English,Salaried,Postgraduate,Married,Auto Insurance,61000,Average,
958,Kathy,Miles,female,1961-12-09,7915000592,Riddlefurt,New Mexico,98257,English,Salaried,Postgraduate,Married,Disability Insurance,40000,Best,
959,Mark,Harter,male,1966-08-26,5983719762,South Nicoleport,Iowa,16977,English,Salaried,Doctorate,Married,Home Insurance,44000,Best,
960,Thomas,Brown,male,1954-02-11,2023854611,Nathanberg,Oklahoma,92553,English,Salaried,Undergraduate,Married,Auto Insurance,86000,Poor,
961,Ruben,Groomes,male,1977-12-14,8409306727,Juliaside,Montana,53424,English,Unemployed,Secondary school,Widowed,Home Insurance,1000,Best,
962,Ethel,Hildebrant,female,1947-12-30,2930121180,Owensstad,Wyoming,90690,English,Self employed,Secondary school,Married,Home Insurance,24000,Best,
963,Fred,Lyles,male,1979-12-23,9766009980,Tiffanymouth,Indiana,82870,English,Business,Postgraduate,Married,Disability Insurance,99000,Average,
964,Clyde,Geisler,male,1975-01-28,1936108546,Thomaschester,Oregon,49605,English,Self employed,Secondary school,Married,Life Insurance,17000,Average,
965,Susan,Kasky,female,1997-11-05,6254450768,Winterston,Delaware,81429,English,Salaried,Postgraduate,Unmarried,Home Insurance,76000,Average,
966,Janelle,Hopkins,female,1949-05-24,3137052442,Johnburgh,Michigan,99536,English,Salaried,Doctorate,Married,Disability Insurance,41000,Poor,
967,Roy,Shouse,male,2001-03-27,6869643402,West Michaelfurt,Arizona,71105,English,Self employed,Secondary school,Unmarried,Home Insurance,35000,Poor,
968,Janelle,Hopkins,female,1949-05-24,3137052442,Johnburgh,Michigan,99536,English,Salaried,Doctorate,Married,Disability Insurance,41000,Poor,
969,Richard,Nunez,male,1963-06-30,7946962302,West Robert,Maine,87485,English,Salaried,Doctorate,Married,Home Insurance,83000,Average,
970,Patricia,Lindhorst,female,1988-08-24,4835439481,New Jill,Wisconsin,34265,English,Salaried,Undergraduate,Widowed,Life Insurance,81000,Best,
971,Richard,Masker,male,1984-06-17,4901014190,Nathanielfort,Arkansas,80995,English,Salaried,Postgraduate,Widowed,Disability Insurance,85000,Poor,
972,Bettye,Wong,female,1948-08-14,4009691484,Julietown,Georgia,92411,English,Self employed,Secondary school,Married,Life Insurance,35000,Best,
973,Lois,Gustin,female,1998-12-20,3954517594,West Michellefort,Indiana,24172,English,Salaried,Undergraduate,Married,Home Insurance,49000,Average,
974,Bradford,Stephens,male,1984-02-05,9157206116,East Lisa,Virginia,22366,English,Salaried,Undergraduate,Married,Home Insurance,76000,Average,
975,Mark,Ye,male,1980-05-13,1998588776,Moorestad,Indiana,73523,English,Salaried,Undergraduate,Married,Disability Insurance,88000,Poor,
976,Ethel,Hildebrant,female,1947-12-30,2930121180,Owensstad,Wyoming,90690,English,Self employed,Secondary school,Married,Auto Insurance,24000,Best,
977,Linda,Ham,female,1969-01-27,2998974563,Bakertown,Wyoming,18313,English,Salaried,Doctorate,Widowed,Auto Insurance,58000,Best,
978,Jose,Rice,male,1968-11-30,4456502233,New Joshua,Idaho,44982,English,Salaried,Undergraduate,Divorced,Auto Insurance,49000,Average,
979,Lenna,Parton,female,1989-10-04,3495322406,New Destiny,Arkansas,14292,English,Business,Postgraduate,Unmarried,Home Insurance,89000,Best,
980,Beverly,Parker,female,1966-03-15,1484298860,Port Morgan,Nebraska,49899,English,Salaried,Doctorate,Married,Life Insurance,60000,Poor,
981,Catherine,Cooper,female,1971-12-01,5221355898,Kiddfort,Kansas,4221,English,Self employed,Secondary school,Married,Auto Insurance,8000,Best,
982,Ervin,Macfarlane,male,1981-07-02,8242203605,West Hannahmouth,Indiana,19789,English,Salaried,Undergraduate,Married,Disability Insurance,87000,Poor,
983,Fred,Lyles,male,1979-12-23,9766009980,Tiffanymouth,Indiana,82870,English,Business,Postgraduate,Married,Disability Insurance,99000,Average,
984,Dana,Guillen,female,1987-03-26,4223015234,North Shane,Indiana,11268,English,Business,Postgraduate,Married,Auto Insurance,73000,Poor,
985,Hong,Nevarez,female,1971-03-23,9735869922,South Dustinburgh,Mississippi,18141,English,Salaried,Doctorate,Divorced,Auto Insurance,57000,Best,
986,Jaime,Conley,male,1999-09-18,2239754321,Thompsonchester,Minnesota,7862,English,Salaried,Postgraduate,Unmarried,Home Insurance,58000,Best,
987,Reatha,Inman,female,1962-12-23,4424941817,Wilsonbury,Ohio,71801,English,Salaried,Doctorate,Divorced,Auto Insurance,63000,Average,
988,Henry,Hamilton,male,1967-05-18,5487955816,Dianaville,Massachusetts,32387,English,Salaried,Undergraduate,Divorced,Home Insurance,65000,Best,
989,Sarah,Goodwin,female,1953-05-02,8649152896,Brockport,Wisconsin,49425,English,Business,Postgraduate,Married,Auto Insurance,86000,Best,
990,Thomas,Marks,male,1943-10-15,2938336225,West Katrinafort,Wyoming,62734,English,Salaried,Doctorate,Married,Disability Insurance,50000,Best,
991,Joseph,Hagler,male,1995-07-20,8345228991,East Joshua,Montana,49507,English,Salaried,Undergraduate,Unmarried,Disability Insurance,49000,Average,
992,Mark,Roderiquez,male,1952-11-07,2837207348,West Jacob,West Virginia,18620,English,Business,Postgraduate,Married,Auto Insurance,70000,Average,
993,Corey,Thompson,male,1967-01-10,8669574663,New Ericbury,North Carolina,43976,English,Self employed,Secondary school,Divorced,Home Insurance,14000,Average,
994,Craig,Cote,male,1943-04-30,1607825287,Rossbury,New Jersey,36195,English,Salaried,Undergraduate,Divorced,Home Insurance,44000,Poor,
995,Ralph,Kenkel,male,1996-12-05,4166990847,Colleenberg,Iowa,71017,English,Unemployed,Secondary school,Unmarried,Disability Insurance,1000,Best,
996,Lawrence,Robinson,male,1971-12-26,4603130833,Rickfort,New Hampshire,67733,English,Salaried,Doctorate,Married,Auto Insurance,65000,Average,
997,Henry,Hamilton,male,1967-05-18,5487955816,Dianaville,Massachusetts,32387,English,Salaried,Undergraduate,Divorced,Disability Insurance,65000,Best,
998,Sarah,Goodwin,female,1953-05-02,8649152896,Brockport,Wisconsin,49425,English,Business,Postgraduate,Married,Home Insurance,86000,Best,
999,Mark,Katz,male,1989-10-27,8628034483,North Valeriestad,Wyoming,33731,English,Salaried,Undergraduate,Unmarried,Auto Insurance,89000,Best,
1000,Sabrina,Dyer,female,1966-07-10,4439011982,Port Peterland,New York,97686,English,Salaried,Undergraduate,Married,Auto Insurance,80000,Average,
1001,Robert,Haug,male,1952-03-11,9752395481,Sarahmouth,Rhode Island,62807,English,Salaried,Undergraduate,Widowed,Auto Insurance,76000,Poor,
1002,Delois,Elkins,female,1967-06-22,2595783725,Tammyport,Florida,81396,English,Salaried,Doctorate,Widowed,Life Insurance,57000,Average,
1003,Richard,Masker,male,1984-06-17,4901014190,Nathanielfort,Arkansas,80995,English,Salaried,Postgraduate,Widowed,Auto Insurance,85000,Poor,
1004,Kathy,Whisnant,female,1954-08-22,1804433434,Mendozashire,Oregon,2436,English,Salaried,Doctorate,Married,Home Insurance,61000,Best,
1005,Marcus,Jones,male,1960-06-06,6485659707,West Jay,Nevada,22267,English,Business,Postgraduate,Married,Home Insurance,90000,Best,
1006,Eric,Dejesus,male,1984-10-10,1805916337,Brettmouth,Pennsylvania,50574,English,Unemployed,Elementary school,Married,Life Insurance,1000,Poor,
1007,Roberta,Young,female,1947-05-05,7323678667,Lake Karen,Washington,33153,English,Self employed,Secondary school,Married,Home Insurance,31000,Average,
1008,Reatha,Inman,female,1962-12-23,4424941817,Wilsonbury,Ohio,71801,English,Salaried,Doctorate,Divorced,Life Insurance,63000,Average,
1009,Joseph,Paxton,male,1970-07-28,9605451553,Melissaborough,Washington,65126,English,Salaried,Postgraduate,Married,Life Insurance,74000,Poor,
1010,John,Baker,male,1958-07-01,5529099140,Cynthiafort,Georgia,36097,English,Salaried,Undergraduate,Widowed,Life Insurance,73000,Poor,
1011,William,Porter,male,1967-01-24,3189904547,Lake Joshuaton,Tennessee,95304,English,Business,Postgraduate,Divorced,Home Insurance,80000,Poor,
1012,Brenda,Hoffman,female,1966-11-12,3573294022,Julieberg,Hawaii,52017,English,Self employed,Elementary school,Married,Home Insurance,25000,Best,
1013,Thomas,Castro,male,1980-07-21,1439501487,Teresamouth,Washington,38309,English,Self employed,Elementary school,Married,Auto Insurance,4000,Average,
1014,Douglas,Seumanu,male,1979-11-26,6900281282,Wandaport,Arizona,20310,English,Salaried,Undergraduate,Married,Life Insurance,53000,Poor,
1015,William,Lund,male,1955-12-21,5233634304,Catherinestad,Texas,58314,English,Self employed,Secondary school,Married,Life Insurance,15000,Poor,
1016,Jennifer,Soto,female,1952-01-25,1405102642,North Steven,Kentucky,89837,English,Salaried,Undergraduate,Married,Disability Insurance,52000,Best,
1017,Keith,Salley,male,1979-10-28,6570488871,East Aaron,Colorado,36021,English,Salaried,Doctorate,Married,Home Insurance,59000,Poor,
1018,Ruby,Merriweather,female,1966-07-20,2327259557,Micheleburgh,Washington,22942,English,Salaried,Undergraduate,Divorced,Auto Insurance,61000,Average,
1019,Arlene,Morales,female,1986-01-15,6249875165,Aaronville,Arizona,64338,English,Salaried,Undergraduate,Widowed,Home Insurance,47000,Poor,
1020,Vicki,Rodriguez,not specified,1961-09-10,7816159908,Perezside,Virginia,28184,English,Salaried,Doctorate,Married,Auto Insurance,65000,Best,
1021,Jerry,Geiger,male,1963-12-24,9406572120,South Thomas,New Jersey,69839,English,Salaried,Postgraduate,Divorced,Auto Insurance,62000,Best,
1022,Diana,Green,female,1992-07-19,6914066373,Moraleschester,Washington,76057,English,Salaried,Undergraduate,Married,Life Insurance,71000,Average,
1023,Hong,Nevarez,female,1971-03-23,9735869922,South Dustinburgh,Mississippi,18141,English,Salaried,Doctorate,Divorced,Disability Insurance,57000,Best,
1024,George,Hoffman,male,1990-09-16,8748350516,West Adam,New York,55635,English,Salaried,Doctorate,Unmarried,Auto Insurance,80000,Best,
1025,Jill,Schroot,female,1971-01-29,7376896838,Stevenville,Vermont,89808,English,Self employed,Secondary school,Widowed,Life Insurance,34000,Average,
1026,Marie,Elliott,female,1998-08-15,9732034850,New Victoria,Kansas,65474,English,Business,Postgraduate,Married,Disability Insurance,70000,Poor,
1027,Guy,Young,male,1971-02-18,5627613281,Stephanieton,North Carolina,91294,English,Self employed,Secondary school,Married,Home Insurance,30000,Poor,
1028,Florence,Durant,female,1951-03-28,8426860527,North Toddton,Colorado,1359,English,Business,Postgraduate,Married,Disability Insurance,83000,Poor,
1029,David,Woods,male,1945-02-06,3580865753,West Cynthia,North Dakota,73488,English,Business,Postgraduate,Widowed,Home Insurance,69000,Poor,
1030,Angeline,Phelan,female,1958-04-23,1464084779,Lindsayview,Mississippi,75911,English,Salaried,Doctorate,Widowed,Auto Insurance,69000,Best,
1031,Richard,Masker,male,1984-06-17,4901014190,Nathanielfort,Arkansas,80995,English,Salaried,Postgraduate,Widowed,Life Insurance,85000,Poor,
1032,Edward,Kraft,male,1953-09-14,5215865665,New Kevinfort,Idaho,62930,English,Salaried,Doctorate,Divorced,Disability Insurance,70000,Best,
1033,Judy,Frick,female,1965-08-04,3914525212,Port Angela,Arkansas,95459,English,Business,Postgraduate,Widowed,Auto Insurance,88000,Poor,
1034,Miguel,Goldbach,male,1995-03-10,8112159740,Jeffreymouth,Missouri,65964,English,Salaried,Undergraduate,Unmarried,Life Insurance,88000,Best,
1035,Wilford,Skelley,male,1945-06-02,7424223780,Lake Kathyview,Oklahoma,21891,English,Salaried,Doctorate,Married,Life Insurance,85000,Best,
1036,Joyce,Fowler,female,1989-03-11,7131955479,Davidsonmouth,Hawaii,82462,English,Salaried,Doctorate,Divorced,Home Insurance,74000,Best,
1037,Douglas,Chew,male,1976-11-26,5188070396,Anneshire,New Hampshire,57388,English,Unemployed,Secondary school,Divorced,Life Insurance,1000,Average,
1038,Jill,Schroot,female,1971-01-29,7376896838,Stevenville,Vermont,89808,English,Self employed,Secondary school,Widowed,Life Insurance,34000,Average,
1039,Judy,Frick,female,1965-08-04,3914525212,Port Angela,Arkansas,95459,English,Business,Postgraduate,Widowed,Disability Insurance,88000,Poor,
1040,Emma,Christian,female,1978-08-21,4994628097,Port Connor,South Dakota,97075,English,Self employed,Secondary school,Married,Auto Insurance,6000,Best,
1041,Rebecca,Bess,female,1972-02-11,6979088394,East Melissafurt,Connecticut,3123,English,Salaried,Undergraduate,Married,Disability Insurance,59000,Poor,
1042,Luella,Schenck,female,1949-10-15,5899013971,Jeffreyfurt,New York,22479,English,Business,Postgraduate,Widowed,Disability Insurance,99000,Poor,
1043,Bill,Dillard,male,1944-06-19,6140144689,Penningtonchester,Tennessee,636,English,Salaried,Doctorate,Widowed,Disability Insurance,80000,Best,
1044,Garrett,Reed,male,1999-02-24,8986459346,Petersonshire,Virginia,44721,English,Salaried,Postgraduate,Unmarried,Disability Insurance,89000,Poor,
1045,Sam,Hall,male,1991-09-25,3698738331,North Robin,New York,84011,English,Salaried,Undergraduate,Unmarried,Home Insurance,67000,Average,
1046,Jill,Schroot,female,1971-01-29,7376896838,Stevenville,Vermont,89808,English,Self employed,Secondary school,Widowed,Disability Insurance,34000,Average,
1047,Carrie,Lucas,female,1983-07-04,1394133759,Port Erikborough,Kentucky,63183,English,Business,Postgraduate,Married,Disability Insurance,66000,Average,
1048,Henry,Winston,male,1978-06-29,8811650509,Lake Christopherbury,Massachusetts,23983,English,Business,Postgraduate,Married,Life Insurance,68000,Best,
1049,Misty,Woolridge,female,1946-10-01,2611386052,Victorview,Mississippi,88737,English,Self employed,Secondary school,Married,Home Insurance,31000,Average,
1050,Paul,Mathews,male,1944-07-24,6392317665,New Kristina,Pennsylvania,17648,English,Salaried,Postgraduate,Divorced,Home Insurance,59000,Average,
1051,Karen,Denault,female,1965-02-08,2275935513,Sherriville,Wisconsin,88811,English,Salaried,Postgraduate,Married,Disability Insurance,45000,Poor,
1052,Allen,Reeves,male,1951-05-10,7206473850,West Elizabethfort,New Mexico,72443,English,Self employed,Elementary school,Married,Life Insurance,20000,Best,
1053,Pearl,Renteria,female,1943-06-16,2793546797,Ericfort,Idaho,62828,English,Salaried,Undergraduate,Married,Home Insurance,57000,Poor,
1054,Miguel,Goldbach,male,1995-03-10,8112159740,Jeffreymouth,Missouri,65964,English,Salaried,Undergraduate,Unmarried,Disability Insurance,88000,Best,
1055,Joan,Mccullen,female,1972-03-19,4231554333,Mikeside,Tennessee,97930,English,Salaried,Undergraduate,Widowed,Home Insurance,53000,Best,
1056,Tempie,Gonzalez,female,1955-12-30,8437037618,Johnville,Nevada,81047,English,Salaried,Undergraduate,Married,Life Insurance,85000,Poor,
1057,Toni,Smith,female,1966-07-30,1007941487,Johnview,Missouri,71698,English,Salaried,Undergraduate,Married,Auto Insurance,57000,Average,
1058,Gloria,Voigt,female,2001-08-19,5303765704,Haroldborough,California,89260,English,Self employed,Secondary school,Married,Disability Insurance,33000,Poor,
1059,Catherine,Cooper,female,1971-12-01,5221355898,Kiddfort,Kansas,4221,English,Self employed,Secondary school,Married,Life Insurance,8000,Best,
1060,Michelle,Melancon,female,1959-06-25,5983405545,New Laurenchester,Arkansas,21348,English,Business,Postgraduate,Widowed,Life Insurance,71000,Poor,
1061,Ronald,Weimer,male,1998-09-11,7227126178,East Catherine,Rhode Island,23694,English,Unemployed,Secondary school,Unmarried,Life Insurance,1000,Best,
1062,Lance,Gilbert,male,1977-11-11,6908996911,East Eric,Wisconsin,56260,English,Salaried,Postgraduate,Married,Home Insurance,10000,Best,
1063,Lois,Gustin,female,1998-12-20,3954517594,West Michellefort,Indiana,24172,English,Salaried,Undergraduate,Married,Life Insurance,49000,Average,
1064,Ronald,Stec,male,2000-03-11,3446881866,Shelleyville,Missouri,93393,English,Salaried,Undergraduate,Married,Auto Insurance,83000,Poor,
1065,Marcus,Rosseau,male,1981-05-18,7926841209,Taylorfurt,New York,27696,English,Business,Postgraduate,Widowed,Home Insurance,82000,Best,
1066,Thomas,Taylor,male,1940-10-10,5806688860,Glennbury,Minnesota,57304,English,Salaried,Undergraduate,Married,Auto Insurance,42000,Best,
1067,Shane,Fayne,male,1997-08-31,6965709751,Dawnburgh,Vermont,96443,English,Salaried,Doctorate,Unmarried,Home Insurance,79000,Best,
1068,Mary,Harris,female,1972-10-17,1647698171,Lake Michelle,Kansas,49786,English,Salaried,Undergraduate,Married,Auto Insurance,60000,Poor,
1069,Lorraine,Linton,female,1992-07-22,3956643118,Port Chad,Minnesota,29540,English,Salaried,Undergraduate,Unmarried,Disability Insurance,60000,Average,
1070,Rosemary,Jacobson,not specified,1944-05-13,9758137153,Lake Joelchester,Wyoming,44238,English,Salaried,Undergraduate,Widowed,Home Insurance,83000,Average,
1071,Kathleen,Urreta,female,1966-02-01,2779014465,Taylormouth,South Carolina,88173,English,Salaried,Undergraduate,Divorced,Auto Insurance,45000,Poor,
1072,Juan,Elliott,male,1961-07-21,6844939067,Collinsberg,Oklahoma,76680,English,Salaried,Doctorate,Married,Life Insurance,78000,Best,
1073,Mark,Roderiquez,male,1952-11-07,2837207348,West Jacob,West Virginia,18620,English,Business,Postgraduate,Married,Auto Insurance,70000,Average,
1074,Andrew,Brown,male,1996-02-13,5175162037,Hoffmanfort,Delaware,28099,English,Salaried,Undergraduate,Unmarried,Auto Insurance,81000,Average,
1075,James,Olszewski,male,1995-06-01,6167851285,Port Donnatown,Kentucky,93609,English,Salaried,Undergraduate,Unmarried,Auto Insurance,64000,Poor,
1076,Rene,Woods,male,1960-10-20,2343449547,Kylestad,Maryland,85053,English,Salaried,Undergraduate,Widowed,Disability Insurance,86000,Average,
1077,Cassie,Hardt,female,1940-10-26,5200280260,Michaelton,Ohio,13072,English,Self employed,Secondary school,Widowed,Life Insurance,9000,Best,
1078,Jacqueline,Walsh,female,1968-07-24,6885485105,West Stevenchester,Arkansas,75213,English,Salaried,Undergraduate,Married,Auto Insurance,58000,Best,
1079,Denise,Carter,female,1956-12-10,7049085971,Christinaton,Nebraska,64031,English,Salaried,Doctorate,Married,Life Insurance,95000,Average,
1080,Jeanette,Howell,female,1951-09-06,6731214323,East Stephanieview,New York,83777,English,Salaried,Undergraduate,Divorced,Disability Insurance,51000,Average,
1081,Eileen,Galyen,female,1948-09-22,7617423411,South Nancyfurt,Indiana,73672,English,Business,Postgraduate,Married,Life Insurance,69000,Poor,
1082,Jose,Rice,male,1968-11-30,4456502233,New Joshua,Idaho,44982,English,Salaried,Undergraduate,Divorced,Auto Insurance,49000,Average,
1083,Mary,Chan,not specified,1997-10-04,7859578796,South Michaelview,Rhode Island,40973,English,Business,Postgraduate,Unmarried,Auto Insurance,94000,Poor,
1084,Toni,Smith,female,1966-07-30,1007941487,Johnview,Missouri,71698,English,Salaried,Undergraduate,Married,Disability Insurance,57000,Average,
